symbol,start_date,end_date,total_return,alpha,theta
WELL,2021-12-09 00:00:00+00:00,2022-02-07 00:00:00+00:00,-0.10991517477792527,-0.04364340202923088,-0.023135056307228494
WELL,2020-10-29 00:00:00+00:00,2020-12-28 00:00:00+00:00,-0.026168657227551222,-0.25053182621136233,-0.030835434538627554
WELL,2022-12-18 00:00:00+00:00,2023-02-16 00:00:00+00:00,-0.07787960374962367,-0.24182234804495478,-0.059444077185603086
WELL,2020-06-10 00:00:00+00:00,2020-08-09 00:00:00+00:00,-0.0429552612458113,-0.03239343052848725,0.05545734409737263
WELL,2019-12-30 00:00:00+00:00,2020-02-28 00:00:00+00:00,-0.0034362075049219243,0.05336124598727991,0.06732758535837641
WELL,2018-09-16 00:00:00+00:00,2018-11-15 00:00:00+00:00,0.050162858001464056,-0.010737080703960948,0.030222789116494377
WELL,2018-08-29 00:00:00+00:00,2018-10-28 00:00:00+00:00,-0.05030534940274535,-0.020827487094131385,0.008348298931002016
WELL,2020-03-22 00:00:00+00:00,2020-05-21 00:00:00+00:00,0.3698117158296965,0.2968066775709899,0.21583016362674773
WELL,2024-12-05 00:00:00+00:00,2025-02-03 00:00:00+00:00,-0.034077670233082814,-0.04372813893847592,0.020207553271991543
WELL,2023-04-04 00:00:00+00:00,2023-06-03 00:00:00+00:00,-0.04773273035502868,-0.11204882129393084,-0.009651052010598543
WELL,2018-04-24 00:00:00+00:00,2018-06-23 00:00:00+00:00,0.1263196660988369,-0.0626617638215079,0.021136432179766733
WELL,2022-10-30 00:00:00+00:00,2022-12-29 00:00:00+00:00,0.07376948638452446,0.005627702622564637,0.027134367098809953
WELL,2020-04-15 00:00:00+00:00,2020-06-14 00:00:00+00:00,0.428495641364771,0.34401338651144087,0.1599705776681523
WELL,2022-12-13 00:00:00+00:00,2023-02-11 00:00:00+00:00,-0.10813616486034078,-0.20655280492917966,-0.046097449759357575
WELL,2020-10-30 00:00:00+00:00,2020-12-29 00:00:00+00:00,-0.0011309586007271833,-0.16421702243733988,-0.04264450024494107
WELL,2024-07-22 00:00:00+00:00,2024-09-20 00:00:00+00:00,0.04128565704899444,-0.12634348051412403,0.0019211092258294427
WELL,2019-03-03 00:00:00+00:00,2019-05-02 00:00:00+00:00,-0.02325430325101422,-0.031692972908941214,0.04394480058444235
WELL,2021-02-11 00:00:00+00:00,2021-04-12 00:00:00+00:00,-0.10009242495965552,-0.252762903934632,-0.08207616138573234
WELL,2020-12-05 00:00:00+00:00,2021-02-03 00:00:00+00:00,-0.16850734902249756,-0.11804140861036999,-0.06380277453486553
WELL,2018-06-26 00:00:00+00:00,2018-08-25 00:00:00+00:00,-0.041220313390366387,-0.1579462006015308,-0.031095924198350132
WELL,2022-09-23 00:00:00+00:00,2022-11-22 00:00:00+00:00,0.09792724289313298,0.08880112202509025,0.09010699599094134
WELL,2021-10-18 00:00:00+00:00,2021-12-17 00:00:00+00:00,-0.12685304349055626,-0.12134237221920811,-0.05968572638222018
WELL,2020-05-10 00:00:00+00:00,2020-07-09 00:00:00+00:00,0.5169889529096767,0.38325881285101815,0.1314315102846788
WELL,2020-11-12 00:00:00+00:00,2021-01-11 00:00:00+00:00,-0.14893311541039353,-0.11542224131090195,-0.08096996073184856
WELL,2021-10-27 00:00:00+00:00,2021-12-26 00:00:00+00:00,-0.12074552247847023,-0.15267589643405216,-0.04320652908971956
WELL,2018-11-10 00:00:00+00:00,2019-01-09 00:00:00+00:00,-0.09487667701554528,-0.10062036235664805,-0.02136990595351762
WELL,2019-07-07 00:00:00+00:00,2019-09-05 00:00:00+00:00,-0.01545507281788403,-0.11633199317899567,-0.01908592597480796
WELL,2023-01-15 00:00:00+00:00,2023-03-16 00:00:00+00:00,-0.09818889582773821,-0.10059373069450885,0.0016790785514261553
WELL,2018-03-06 00:00:00+00:00,2018-05-05 00:00:00+00:00,-0.029452893539729814,-0.06316160255921346,-3.5870080682412486e-05
WELL,2024-05-03 00:00:00+00:00,2024-07-02 00:00:00+00:00,-0.0618719485476231,-0.13773376227979114,0.008706721137104204
WELL,2023-03-14 00:00:00+00:00,2023-05-13 00:00:00+00:00,-0.008947690621303508,-0.1417726890786905,0.029383767818498337
WELL,2023-11-22 00:00:00+00:00,2024-01-21 00:00:00+00:00,-0.03904252157865742,-0.045800305974282196,-0.016923562984226932
