2025-04-15 03:32:22,458 - resource_monitor - WARNING - Resource usage: CPU=100.0%, Memory=91.0%, Available Memory=0.7GB
2025-04-15 03:32:23,559 - resource_monitor - WARNING - Resource usage: CPU=94.1%, Memory=91.3%, Available Memory=0.7GB
2025-04-15 03:32:24,661 - resource_monitor - WARNING - Resource usage: CPU=95.0%, Memory=91.5%, Available Memory=0.6GB
2025-04-15 03:32:25,762 - resource_monitor - WARNING - Resource usage: CPU=86.6%, Memory=91.6%, Available Memory=0.6GB
2025-04-15 03:32:26,863 - resource_monitor - WARNING - Resource usage: CPU=87.6%, Memory=91.5%, Available Memory=0.6GB
2025-04-15 03:32:27,964 - resource_monitor - WARNING - Resource usage: CPU=81.0%, Memory=91.7%, Available Memory=0.6GB
2025-04-15 03:32:29,102 - resource_monitor - WARNING - Resource usage: CPU=75.5%, Memory=91.9%, Available Memory=0.6GB
2025-04-15 03:32:30,240 - resource_monitor - WARNING - Resource usage: CPU=61.8%, Memory=91.9%, Available Memory=0.6GB
2025-04-15 03:32:31,341 - resource_monitor - WARNING - Resource usage: CPU=51.7%, Memory=91.9%, Available Memory=0.6GB
2025-04-15 03:32:32,442 - resource_monitor - WARNING - Resource usage: CPU=44.5%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:32:33,543 - resource_monitor - WARNING - Resource usage: CPU=28.6%, Memory=91.9%, Available Memory=0.6GB
2025-04-15 03:32:34,654 - resource_monitor - WARNING - Resource usage: CPU=12.4%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:32:35,755 - resource_monitor - WARNING - Resource usage: CPU=9.2%, Memory=92.1%, Available Memory=0.6GB
2025-04-15 03:32:36,855 - resource_monitor - WARNING - Resource usage: CPU=5.0%, Memory=92.1%, Available Memory=0.6GB
2025-04-15 03:32:37,977 - resource_monitor - WARNING - Resource usage: CPU=12.4%, Memory=92.1%, Available Memory=0.6GB
2025-04-15 03:32:39,083 - resource_monitor - WARNING - Resource usage: CPU=18.3%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:32:40,184 - resource_monitor - WARNING - Resource usage: CPU=5.8%, Memory=92.1%, Available Memory=0.6GB
2025-04-15 03:32:41,287 - resource_monitor - WARNING - Resource usage: CPU=1.7%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:32:42,390 - resource_monitor - WARNING - Resource usage: CPU=2.5%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:32:43,493 - resource_monitor - WARNING - Resource usage: CPU=5.8%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:32:44,594 - resource_monitor - WARNING - Resource usage: CPU=10.1%, Memory=92.1%, Available Memory=0.6GB
2025-04-15 03:32:45,698 - resource_monitor - WARNING - Resource usage: CPU=10.5%, Memory=92.1%, Available Memory=0.6GB
2025-04-15 03:32:46,801 - resource_monitor - WARNING - Resource usage: CPU=1.7%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:32:47,904 - resource_monitor - WARNING - Resource usage: CPU=2.5%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:32:49,007 - resource_monitor - WARNING - Resource usage: CPU=0.0%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:32:50,109 - resource_monitor - WARNING - Resource usage: CPU=10.9%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:32:51,211 - resource_monitor - WARNING - Resource usage: CPU=13.8%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:32:52,313 - resource_monitor - WARNING - Resource usage: CPU=7.9%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:32:53,416 - resource_monitor - WARNING - Resource usage: CPU=1.7%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:32:54,518 - resource_monitor - WARNING - Resource usage: CPU=1.7%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:32:55,620 - resource_monitor - WARNING - Resource usage: CPU=3.4%, Memory=92.1%, Available Memory=0.6GB
2025-04-15 03:32:56,723 - resource_monitor - WARNING - Resource usage: CPU=11.1%, Memory=92.1%, Available Memory=0.6GB
2025-04-15 03:32:57,826 - resource_monitor - WARNING - Resource usage: CPU=5.0%, Memory=92.1%, Available Memory=0.6GB
2025-04-15 03:32:58,928 - resource_monitor - WARNING - Resource usage: CPU=5.9%, Memory=91.8%, Available Memory=0.6GB
2025-04-15 03:33:00,030 - resource_monitor - WARNING - Resource usage: CPU=5.9%, Memory=91.9%, Available Memory=0.6GB
2025-04-15 03:33:01,133 - resource_monitor - WARNING - Resource usage: CPU=5.9%, Memory=92.0%, Available Memory=0.6GB
2025-04-15 03:33:02,237 - resource_monitor - WARNING - Resource usage: CPU=8.8%, Memory=92.1%, Available Memory=0.6GB
